image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
Acquisition_2418_0_0.png,7,442.4,755.8,15.17,13.64,8.45,5.23
Acquisition_2418_0_0.png,8,357.7,716.2,22.99,9.27,152.08,7.93
Acquisition_2418_0_0.png,9,431.9,652.6,17.02,13.84,140.54,5.87
Acquisition_2418_0_0.png,10,347.4,637.3,15.79,11.35,55.32,5.45
Acquisition_2418_0_0.png,11,144.8,621.3,16.76,13.54,171.53,5.78
Acquisition_2418_0_0.png,12,194.0,610.1,17.61,15.03,161.33,6.07
Acquisition_2418_0_0.png,13,68.8,569.3,15.31,12.8,102.3,5.28
Acquisition_2418_0_1.png,1,487.3,1017.4,17.85,12.57,55.6,6.16
Acquisition_2418_0_1.png,2,102.9,1017.4,23.05,15.61,176.51,7.95
Acquisition_2418_0_1.png,3,353.6,970.1,16.36,15.89,16.82,5.64
Acquisition_2418_0_1.png,4,511.0,942.5,19.36,13.98,61.92,6.68
Acquisition_2418_0_1.png,5,314.3,941.4,17.91,14.99,34.89,6.18
Acquisition_2418_0_1.png,6,363.0,920.5,16.37,14.87,112.94,5.65
Acquisition_2418_0_1.png,7,620.4,920.0,18.38,17.25,120.72,6.34
Acquisition_2418_0_1.png,8,50.3,904.8,16.35,14.14,161.89,5.64
Acquisition_2418_0_1.png,9,128.1,883.5,18.88,13.33,86.55,6.51
Acquisition_2418_0_1.png,10,289.8,875.5,13.19,10.35,36.15,4.55
Acquisition_2418_0_1.png,11,805.4,818.6,17.04,16.25,59.02,5.88
Acquisition_2418_0_1.png,12,730.3,803.0,17.47,14.23,78.06,6.03
Acquisition_2418_0_1.png,13,914.4,802.1,19.4,12.11,157.07,6.69
Acquisition_2418_0_1.png,14,927.5,766.2,17.8,10.37,3.73,6.14
Acquisition_2418_0_1.png,15,872.9,736.1,16.01,15.13,139.52,5.52
Acquisition_2418_0_1.png,16,685.8,654.1,17.14,12.83,159.21,5.91
Acquisition_2418_0_1.png,17,714.2,631.0,13.73,13.03,2.64,4.74
Acquisition_2418_0_1.png,18,528.9,630.5,15.54,14.65,100.78,5.36
Acquisition_2418_0_1.png,19,656.2,581.9,11.34,7.74,137.27,3.91
Acquisition_2418_0_1.png,20,349.6,572.7,19.4,12.48,82.45,6.69
Acquisition_2418_0_1.png,21,903.7,552.4,17.98,11.97,37.66,6.2
Acquisition_2418_0_1.png,22,774.5,535.1,12.16,11.55,86.36,4.19
Acquisition_2418_0_1.png,23,949.3,533.1,15.72,10.68,51.25,5.42
Acquisition_2418_0_1.png,24,348.9,470.0,17.56,13.51,7.84,6.06
Acquisition_2418_0_1.png,25,774.5,436.4,10.74,9.38,173.95,3.71
Acquisition_2418_0_1.png,26,770.7,416.7,14.86,7.69,143.98,5.13
Acquisition_2418_0_1.png,27,975.6,399.1,17.77,15.09,72.23,6.13
Acquisition_2418_0_1.png,28,316.7,394.9,15.59,12.26,31.78,5.38
Acquisition_2418_0_1.png,29,532.0,390.1,16.84,13.04,28.78,5.81
Acquisition_2418_0_1.png,30,643.2,364.8,15.76,13.92,31.34,5.44
Acquisition_2418_0_1.png,31,460.0,357.8,18.29,8.12,136.73,6.31
Acquisition_2418_0_1.png,32,152.1,354.6,16.68,15.78,29.45,5.75
Acquisition_2418_0_1.png,33,286.4,347.6,15.68,11.49,124.13,5.41
Acquisition_2418_0_1.png,34,992.0,328.2,20.75,11.2,75.18,7.16
Acquisition_2418_0_1.png,35,402.7,326.4,18.15,15.55,120.14,6.26
Acquisition_2418_0_1.png,36,988.8,308.0,13.87,13.57,122.91,4.79
Acquisition_2418_0_1.png,37,1007.5,302.2,16.8,14.88,164.19,5.79
Acquisition_2418_0_1.png,38,942.7,300.3,13.79,12.87,81.0,4.76
Acquisition_2418_0_1.png,39,874.7,302.4,21.03,12.74,12.34,7.25
Acquisition_2418_0_1.png,40,635.3,272.7,17.76,15.16,146.76,6.13
Acquisition_2418_0_1.png,41,407.7,261.9,17.49,13.99,61.16,6.03
Acquisition_2418_0_1.png,42,997.6,257.0,16.1,14.59,150.97,5.55
Acquisition_2418_0_1.png,43,182.9,221.5,14.18,13.89,78.05,4.89
Acquisition_2418_0_1.png,44,668.4,194.1,15.04,13.25,62.27,5.19
Acquisition_2418_0_1.png,45,543.9,170.5,15.1,13.99,87.9,5.21
Acquisition_2418_0_1.png,46,571.8,134.8,14.36,10.63,82.76,4.95
Acquisition_2418_0_1.png,47,462.0,138.5,18.51,12.83,32.51,6.39
Acquisition_2418_0_1.png,48,713.4,130.8,12.6,9.33,100.6,4.35
Acquisition_2418_0_1.png,49,917.3,130.9,18.93,12.39,23.6,6.53
Acquisition_2418_0_1.png,50,700.0,122.7,9.43,8.12,83.15,3.25
Acquisition_2418_0_1.png,51,648.1,109.4,25.28,14.34,170.45,8.72
Acquisition_2418_0_1.png,52,586.8,102.4,14.34,10.39,44.69,4.95
Acquisition_2418_0_1.png,53,274.3,101.9,20.59,14.6,32.45,7.1
Acquisition_2418_0_1.png,54,64.3,99.3,30.48,16.49,18.66,10.52
Acquisition_2418_0_1.png,55,704.3,89.5,16.65,13.82,115.14,5.74
Acquisition_2418_0_1.png,56,62.4,16.7,15.58,9.66,112.16,5.38
Acquisition_2418_1_1.png,1,570.6,1008.7,18.86,11.18,127.56,6.51
Acquisition_2418_1_1.png,2,957.9,1002.8,12.49,7.52,114.92,4.31
Acquisition_2418_1_1.png,3,944.9,990.2,11.9,11.08,70.75,4.11
Acquisition_2418_1_1.png,4,552.8,977.2,17.24,13.71,55.04,5.95
Acquisition_2418_1_1.png,5,870.6,937.9,15.24,14.0,99.91,5.26
Acquisition_2418_1_1.png,6,552.1,928.2,15.62,12.81,59.97,5.39
Acquisition_2418_1_1.png,7,11.5,914.6,15.67,8.79,76.75,5.4
Acquisition_2418_1_1.png,8,328.9,896.2,18.97,11.76,123.64,6.54
Acquisition_2418_1_1.png,9,649.5,884.0,16.79,14.14,64.4,5.79
Acquisition_2418_1_1.png,10,203.0,862.9,22.74,12.13,137.36,7.85
Acquisition_2418_1_1.png,11,530.5,856.4,12.93,11.95,71.15,4.46
Acquisition_2418_1_1.png,12,829.2,827.4,16.95,14.12,160.89,5.85
Acquisition_2418_1_1.png,13,498.9,820.5,16.8,9.43,69.88,5.79
Acquisition_2418_1_1.png,14,567.9,814.1,15.5,14.75,149.53,5.35
Acquisition_2418_1_1.png,15,60.2,810.5,12.03,7.29,114.34,4.15
Acquisition_2418_1_1.png,16,76.7,805.5,13.3,12.57,102.59,4.59
Acquisition_2418_1_1.png,17,264.0,804.5,15.4,12.1,101.82,5.31
Acquisition_2418_1_1.png,18,106.9,801.4,14.96,12.85,112.85,5.16
Acquisition_2418_1_1.png,19,5.4,796.8,18.33,15.46,90.83,6.32
Acquisition_2418_1_1.png,20,713.9,780.7,15.52,12.92,101.96,5.35
Acquisition_2418_1_1.png,21,840.2,770.7,14.68,14.32,82.69,5.06
Acquisition_2418_1_1.png,22,352.0,681.4,16.97,13.54,103.98,5.85
Acquisition_2418_1_1.png,23,430.1,672.5,15.77,10.04,173.32,5.44
Acquisition_2418_1_1.png,24,666.0,666.2,18.2,7.57,116.41,6.28
Acquisition_2418_1_1.png,25,406.6,661.4,16.58,13.0,59.0,5.72
Acquisition_2418_1_1.png,26,128.7,650.5,18.16,13.81,48.37,6.26
Acquisition_2418_1_1.png,27,258.9,623.4,11.23,7.12,16.07,3.87
Acquisition_2418_1_1.png,28,338.7,620.8,9.13,7.44,28.63,3.15
Acquisition_2418_1_1.png,29,497.4,624.7,36.08,15.82,114.53,12.45
Acquisition_2418_1_1.png,30,548.5,601.3,12.8,8.62,26.65,4.41
Acquisition_2418_1_1.png,31,138.4,601.2,17.2,13.24,110.32,5.93
Acquisition_2418_1_1.png,32,79.5,593.3,16.72,15.24,107.5,5.77
Acquisition_2418_1_1.png,33,522.1,572.7,14.66,7.88,1.41,5.06
Acquisition_2418_1_1.png,34,600.4,572.0,16.97,14.38,135.52,5.86
Acquisition_2418_1_1.png,35,33.0,561.2,17.95,13.92,112.86,6.19
Acquisition_2418_1_1.png,36,98.8,504.5,17.22,15.11,26.61,5.94
Acquisition_2418_1_1.png,37,314.7,498.1,9.35,6.58,92.42,3.22
Acquisition_2418_1_1.png,38,420.2,467.0,17.02,11.77,83.46,5.87
Acquisition_2418_1_1.png,39,141.9,438.7,20.02,6.83,146.71,6.91
Acquisition_2418_1_1.png,40,279.1,429.8,17.83,13.78,127.27,6.15
Acquisition_2418_1_1.png,41,200.8,394.6,17.18,8.76,62.68,5.93
Acquisition_2429_0_0.png,1,233.6,999.9,18.98,14.27,113.03,6.55
Acquisition_2429_0_0.png,2,464.5,989.2,17.59,14.36,112.76,6.07
Acquisition_2429_0_0.png,3,704.0,950.0,18.04,14.38,167.43,6.22
Acquisition_2429_0_0.png,4,630.0,862.8,14.01,10.33,24.09,4.83
Acquisition_2429_0_0.png,5,11.2,856.6,15.47,13.25,114.48,5.34
Acquisition_2429_0_0.png,6,396.7,836.6,18.76,12.63,13.08,6.47
Acquisition_2429_0_0.png,7,244.5,832.3,14.67,13.51,130.35,5.06
Acquisition_2429_0_0.png,8,81.9,816.2,17.87,15.02,74.33,6.16
Acquisition_2429_0_0.png,9,311.4,809.4,16.68,9.1,122.62,5.75
Acquisition_2429_0_0.png,10,470.7,761.3,11.07,8.69,102.83,3.82
Acquisition_2429_0_0.png,11,879.6,718.2,12.69,12.43,124.93,4.38
Acquisition_2429_0_0.png,12,959.6,682.6,12.84,9.73,93.36,4.43
Acquisition_2429_0_0.png,13,568.2,632.3,13.68,9.04,176.58,4.72
Acquisition_2429_0_0.png,14,698.9,620.0,13.69,8.62,91.93,4.72
