,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
137,Frame11_Acquisition_3936_3_1.png,8,513.1,930.4,18.06,14.28,173.56,6.23
138,Frame11_Acquisition_3936_3_1.png,9,3.7,863.4,9.21,5.76,10.16,3.18
139,Frame11_Acquisition_3936_3_1.png,10,787.6,851.3,25.51,16.09,177.47,8.8
140,Frame11_Acquisition_3936_3_1.png,11,942.4,824.1,20.82,16.03,92.52,7.18
141,Frame11_Acquisition_3936_3_1.png,12,357.0,772.0,14.48,12.11,41.99,4.99
142,Frame11_Acquisition_3936_3_1.png,13,159.4,676.6,18.25,12.9,20.18,6.29
143,Frame11_Acquisition_3936_3_1.png,14,203.3,590.7,14.58,11.83,83.83,5.03
144,Frame11_Acquisition_3936_3_1.png,15,146.7,591.4,15.04,9.45,143.92,5.19
145,Frame11_Acquisition_3936_3_1.png,16,747.6,515.3,11.92,7.79,143.83,4.11
146,Frame11_Acquisition_3936_3_1.png,17,346.1,497.6,14.49,12.31,124.96,5.0
147,Frame11_Acquisition_3936_3_1.png,18,36.3,379.2,17.54,14.9,131.7,6.05
148,Frame11_Acquisition_3936_3_1.png,19,961.3,347.3,9.0,7.8,92.22,3.1
149,Frame11_Acquisition_3936_3_1.png,20,853.3,315.2,11.37,9.94,130.6,3.92
150,Frame11_Acquisition_3936_3_1.png,21,226.7,219.0,14.82,11.84,82.66,5.11
151,Frame11_Acquisition_3936_3_1.png,22,1019.2,157.6,7.62,5.96,178.16,2.63
152,Frame11_Acquisition_3936_3_1.png,23,368.9,58.9,20.17,13.2,25.42,6.96
153,Frame11_Acquisition_3936_3_1.png,24,355.1,35.6,9.86,5.69,158.67,3.4
154,Frame11_Acquisition_3936_3_1.png,25,5.0,23.0,10.64,9.47,149.26,3.67
155,Frame12_Acquisition_3947_0_0.png,1,944.3,773.7,9.17,7.95,13.77,3.16
156,Frame12_Acquisition_3947_0_0.png,2,541.3,733.1,12.63,9.95,69.57,4.36
157,Frame12_Acquisition_3947_0_0.png,3,286.9,696.0,5.95,4.34,163.46,2.05
158,Frame12_Acquisition_3947_0_0.png,4,992.5,631.0,8.45,3.48,133.24,2.91
159,Frame12_Acquisition_3947_0_1.png,1,582.3,1018.8,15.18,12.99,91.57,5.24
160,Frame12_Acquisition_3947_0_1.png,2,531.0,1012.8,4.28,4.15,82.75,1.48
161,Frame12_Acquisition_3947_0_1.png,3,556.7,963.6,7.54,6.01,47.14,2.6
162,Frame12_Acquisition_3947_0_1.png,4,579.7,953.9,23.6,16.09,116.56,8.14
163,Frame12_Acquisition_3947_0_1.png,5,294.0,821.9,22.22,17.54,87.78,7.66
164,Frame12_Acquisition_3947_0_1.png,6,868.3,819.8,16.27,15.79,60.48,5.61
165,Frame12_Acquisition_3947_0_1.png,7,592.9,675.4,6.49,4.47,125.96,2.24
166,Frame12_Acquisition_3947_0_1.png,8,401.2,580.6,16.91,11.24,93.55,5.83
167,Frame12_Acquisition_3947_0_1.png,9,989.4,571.1,13.34,9.68,24.3,4.6
168,Frame12_Acquisition_3947_0_1.png,10,550.3,488.6,9.07,6.17,122.55,3.13
169,Frame12_Acquisition_3947_0_1.png,11,319.8,410.1,7.1,5.82,103.44,2.45
170,Frame12_Acquisition_3947_0_1.png,12,570.9,388.4,9.79,8.19,71.21,3.38
171,Frame12_Acquisition_3947_0_1.png,13,379.8,378.2,18.45,10.98,94.45,6.37
172,Frame12_Acquisition_3947_0_1.png,14,315.3,344.8,6.92,6.25,114.39,2.39
173,Frame12_Acquisition_3947_0_1.png,15,597.7,280.2,7.79,7.18,148.04,2.69
174,Frame12_Acquisition_3947_0_1.png,16,668.1,233.3,14.24,12.26,107.86,4.91
175,Frame12_Acquisition_3947_0_1.png,17,964.9,201.2,6.88,5.73,137.59,2.37
176,Frame12_Acquisition_3947_0_1.png,18,719.9,191.8,14.45,11.05,69.74,4.98
177,Frame12_Acquisition_3947_0_1.png,19,902.2,178.8,11.24,7.12,28.5,3.88
178,Frame12_Acquisition_3947_0_1.png,20,741.8,168.1,10.1,9.39,122.87,3.48
179,Frame12_Acquisition_3947_0_1.png,21,722.4,156.4,14.1,10.33,116.87,4.87
180,Frame12_Acquisition_3947_0_1.png,22,872.8,148.0,17.83,13.76,163.5,6.15
181,Frame12_Acquisition_3947_1_0.png,1,578.2,1016.3,12.88,9.02,3.28,4.44
182,Frame12_Acquisition_3947_1_0.png,2,579.5,990.7,16.85,13.1,36.79,5.81
183,Frame12_Acquisition_3947_1_0.png,3,295.3,923.1,13.04,9.84,107.4,4.5
184,Frame12_Acquisition_3947_1_0.png,4,155.9,841.7,10.21,5.35,61.48,3.52
185,Frame12_Acquisition_3947_1_0.png,5,264.2,827.3,6.75,5.83,107.63,2.33
186,Frame12_Acquisition_3947_1_0.png,6,3.8,680.2,12.47,7.78,166.16,4.3
187,Frame12_Acquisition_3947_1_0.png,7,112.7,664.1,12.9,9.6,0.96,4.45
188,Frame12_Acquisition_3947_1_0.png,8,593.7,263.9,12.36,8.92,114.8,4.26
189,Frame12_Acquisition_3947_1_1.png,1,458.4,956.6,8.05,6.47,153.08,2.78
190,Frame12_Acquisition_3947_1_1.png,2,1014.4,943.7,13.67,11.72,20.69,4.72
191,Frame12_Acquisition_3947_1_1.png,3,203.1,932.5,11.97,4.59,174.12,4.13
192,Frame12_Acquisition_3947_1_1.png,4,336.5,925.9,10.69,7.32,176.13,3.69
193,Frame12_Acquisition_3947_1_1.png,5,793.3,923.8,8.57,7.16,94.23,2.96
194,Frame12_Acquisition_3947_1_1.png,6,232.0,919.5,11.04,8.35,6.6,3.81
195,Frame12_Acquisition_3947_1_1.png,7,818.1,910.1,13.57,11.18,175.63,4.68
196,Frame12_Acquisition_3947_1_1.png,8,762.9,853.7,9.59,9.16,119.12,3.31
197,Frame12_Acquisition_3947_1_1.png,9,701.6,844.9,9.61,7.21,8.77,3.31
198,Frame12_Acquisition_3947_1_1.png,10,745.7,791.6,10.13,6.35,128.93,3.49
199,Frame12_Acquisition_3947_1_1.png,11,885.4,785.8,10.35,8.57,122.37,3.57
200,Frame12_Acquisition_3947_1_1.png,12,686.0,776.8,6.09,4.8,90.0,2.1
201,Frame12_Acquisition_3947_1_1.png,13,170.2,712.6,17.79,17.17,169.11,6.14
202,Frame12_Acquisition_3947_1_1.png,14,155.5,687.1,7.36,6.97,76.14,2.54
203,Frame12_Acquisition_3947_1_1.png,15,893.6,676.1,10.64,9.75,66.38,3.67
204,Frame12_Acquisition_3947_1_1.png,16,879.9,653.3,5.23,4.17,163.55,1.8
205,Frame12_Acquisition_3947_1_1.png,17,222.4,646.5,16.17,14.25,93.34,5.58
206,Frame12_Acquisition_3947_1_1.png,18,373.3,611.4,5.74,4.55,51.77,1.98
207,Frame12_Acquisition_3947_1_1.png,19,247.9,576.0,18.29,10.45,72.49,6.31
208,Frame12_Acquisition_3947_1_1.png,20,219.4,413.9,17.17,7.92,59.84,5.92
209,Frame12_Acquisition_3947_1_1.png,21,64.1,411.0,11.7,7.65,163.99,4.04
210,Frame12_Acquisition_3947_1_1.png,22,484.6,403.8,12.25,11.11,78.67,4.23
211,Frame12_Acquisition_3947_1_1.png,23,280.2,395.5,12.29,10.12,139.82,4.24
212,Frame12_Acquisition_3947_1_1.png,24,233.6,387.0,5.09,4.44,105.1,1.76
213,Frame12_Acquisition_3947_1_1.png,25,240.4,270.5,17.77,12.52,64.24,6.13
214,Frame12_Acquisition_3947_1_1.png,26,931.7,221.9,11.75,7.4,24.17,4.05
215,Frame12_Acquisition_3947_2_0.png,1,647.4,984.1,5.41,4.5,105.09,1.87
216,Frame12_Acquisition_3947_2_0.png,2,755.5,808.6,8.16,6.62,30.12,2.82
217,Frame12_Acquisition_3947_2_0.png,3,714.5,503.1,7.98,7.47,76.24,2.75
218,Frame12_Acquisition_3947_2_1.png,1,192.6,832.0,10.88,9.66,106.22,3.75
219,Frame12_Acquisition_3947_2_1.png,2,315.6,826.8,12.46,10.74,124.91,4.3
220,Frame12_Acquisition_3947_2_1.png,3,320.8,797.0,12.18,11.51,171.63,4.2
221,Frame12_Acquisition_3947_2_1.png,4,920.3,761.9,7.7,5.63,98.59,2.66
222,Frame12_Acquisition_3947_2_1.png,5,765.7,742.5,14.94,11.01,13.24,5.16
223,Frame12_Acquisition_3947_2_1.png,6,186.4,677.1,8.93,5.9,133.93,3.08
224,Frame12_Acquisition_3947_2_1.png,7,125.7,662.2,12.82,10.09,145.86,4.42
225,Frame12_Acquisition_3947_2_1.png,8,156.9,644.2,23.4,10.72,169.01,8.07
226,Frame12_Acquisition_3947_2_1.png,9,309.3,574.2,9.56,7.9,50.58,3.3
227,Frame12_Acquisition_3947_2_1.png,10,33.8,550.1,13.54,12.03,162.05,4.67
228,Frame12_Acquisition_3947_2_1.png,11,336.6,481.0,12.18,10.43,137.5,4.2
229,Frame12_Acquisition_3947_2_1.png,12,224.9,28.5,13.97,9.4,166.78,4.82
230,Frame12_Acquisition_3947_3_0.png,1,219.4,635.9,5.33,4.09,99.36,1.84
231,Frame12_Acquisition_3947_3_1.png,1,818.0,795.3,6.36,5.79,90.0,2.2
232,Frame12_Acquisition_3947_3_1.png,2,64.9,363.3,12.58,10.26,155.28,4.34
233,Frame12_Acquisition_3947_3_1.png,3,679.7,345.6,16.02,10.06,109.64,5.53
234,Frame12_Acquisition_3947_3_1.png,4,525.2,313.8,10.22,8.18,173.83,3.53
235,Frame13_Acquisition_3958_0_0.png,1,65.8,1017.8,25.97,16.26,127.65,8.96
236,Frame13_Acquisition_3958_0_0.png,2,264.5,980.1,13.86,12.35,164.92,4.78
237,Frame13_Acquisition_3958_0_0.png,3,214.2,970.0,16.21,9.77,97.19,5.59
238,Frame13_Acquisition_3958_0_0.png,4,393.3,879.2,26.43,16.4,158.93,9.12
239,Frame13_Acquisition_3958_0_0.png,5,847.6,872.2,20.33,8.1,96.3,7.01
240,Frame13_Acquisition_3958_0_0.png,6,825.3,758.6,8.53,4.85,68.08,2.94
241,Frame13_Acquisition_3958_0_0.png,7,746.3,737.1,9.14,8.54,128.26,3.15
242,Frame13_Acquisition_3958_0_0.png,8,813.6,692.1,5.93,4.91,160.76,2.04
243,Frame13_Acquisition_3958_0_0.png,9,464.8,517.8,17.25,7.94,123.38,5.95
244,Frame13_Acquisition_3958_0_0.png,10,700.9,515.3,16.95,7.23,156.72,5.85
245,Frame13_Acquisition_3958_0_0.png,11,1001.2,463.5,14.56,14.12,88.44,5.02
246,Frame13_Acquisition_3958_0_0.png,12,294.1,336.7,10.57,5.67,69.16,3.65
247,Frame13_Acquisition_3958_0_0.png,13,794.1,315.4,14.72,10.94,96.76,5.08
248,Frame13_Acquisition_3958_0_0.png,14,471.6,86.0,20.11,16.54,122.81,6.94
249,Frame13_Acquisition_3958_0_0.png,15,561.1,23.3,9.96,6.91,140.17,3.43
250,Frame13_Acquisition_3958_0_0.png,16,582.6,12.5,24.04,16.34,122.98,8.3
251,Frame13_Acquisition_3958_0_1.png,1,68.0,898.5,17.12,14.68,174.02,5.91
252,Frame13_Acquisition_3958_0_1.png,2,98.9,895.0,18.04,10.69,111.95,6.23
253,Frame13_Acquisition_3958_0_1.png,3,400.2,888.1,23.21,14.89,127.71,8.01
254,Frame13_Acquisition_3958_0_1.png,4,849.0,871.5,24.58,18.77,164.15,8.48
255,Frame13_Acquisition_3958_0_1.png,5,785.8,862.5,10.69,10.06,117.07,3.69
